gene_a	gene_b	label
39112	47106	0
49947	3531	1
42407	19932	0
43577	18810	1
25354	21806	0
3355	22118	1
21846	29602	0
49874	18741	1
36119	40920	0
4113	16931	1
51605	52769	0
12716	40033	1
3174	37846	0
50366	43193	0
7539	50001	0
2661	14560	1
16903	50820	1
11540	19034	1
46913	20652	0
48971	35136	0
27021	45192	0
33477	4384	1
42760	23753	0
22417	1340	0
13616	11785	0
38126	13855	1
51256	48044	0
25994	9503	1
22410	9350	1
14267	31235	0
37598	30149	0
7429	41197	0
3892	20488	1
51522	7559	0
5778	28241	0
16472	5599	0
23072	46498	0
38126	14581	1
52168	53986	0
841	39043	1
52477	47129	1
29977	38126	1
6382	48162	0
25520	52387	1
34024	10510	0
49783	16844	1
25450	9497	1
36151	53893	0
28478	136	1
1444	12175	1
53905	53606	0
50820	40528	1
29472	42188	0
13554	47675	1
5731	15084	0
30648	43029	0
25292	27278	0
17873	41196	1
29317	6409	0
23711	2189	0
18468	8858	1
37710	25423	0
29929	43751	1
21461	18835	1
44781	38126	1
35439	25450	1
9349	36988	1
50528	15358	1
31356	50805	1
13894	29737	0
21879	4686	1
11720	38760	0
1444	1153	1
20238	25726	1
32400	11917	1
41252	41535	0
325	41189	0
12973	6938	1
24079	34023	1
5509	17523	1
716	14317	1
29050	990	0
14221	36045	0
27624	46332	0
23499	24468	0
30745	37927	0
18757	12393	0
13932	5543	0
49772	32063	0
40964	41827	0
16459	38461	1
47174	22738	0
8702	53120	0
45321	39876	1
625	53066	1
17772	720	1
28725	14026	1
15584	3414	0
4961	12432	1
36028	19549	0
31754	8763	0
17459	31359	0
29364	39598	0
34023	21255	1
25999	1403	0
30552	36460	0
6544	23658	0
15420	34023	1
39407	50842	0
42367	47583	0
9974	4778	1
34023	28316	1
33441	38126	1
34692	39960	1
4010	47533	0
18403	11567	0
6779	30019	0
1694	29850	0
40006	30462	1
53953	27894	1
25189	46442	0
3005	3355	1
24279	41448	1
12686	32811	0
30825	37276	1
19936	21579	0
16844	974	1
44626	19034	1
19034	38365	1
30096	50637	0
40401	38919	1
16447	29165	0
11786	4323	1
31035	3745	1
47498	616	1
8838	52584	0
1547	40992	0
40231	12950	0
28177	40006	1
17105	51477	0
49830	12175	1
25867	7747	1
6981	43222	0
25867	50559	1
16844	20409	1
6804	2123	1
39275	52568	1
48566	53870	1
37879	50154	1
3813	33462	0
45307	18757	1
33595	50042	1
22577	4996	0
38126	39067	1
35068	40608	0
26640	10723	1
16301	36916	1
28659	52589	0
30931	32870	1
2583	12238	1
26928	33681	1
49201	40340	1
35012	49242	1
31973	1517	0
39314	49873	0
19034	48162	1
17583	30825	1
34043	21641	1
26404	20419	0
25601	20572	0
31306	11339	1
6981	37492	0
7790	17801	0
25964	45872	1
6547	38126	1
34953	29160	1
36485	37302	0
17772	30706	0
26561	2452	0
35815	7910	0
3355	46538	1
12944	4113	1
34595	19423	0
11160	24678	0
34780	5719	1
25161	32623	0
18429	17633	1
16654	37368	1
52469	32623	1
52826	16844	1
33027	11714	1
24118	45958	1
51210	53953	1
36186	9714	0
38126	28316	1
6387	5438	1
43303	14817	0
45171	5414	0
44939	53097	0
19154	50709	0
53017	28993	1
41521	40084	1
23149	50320	0
15455	26198	1
5216	34695	0
16603	35764	0
27930	34023	1
31570	34774	0
17868	33936	0
22267	4209	0
4961	24480	1
15898	19034	1
18416	39697	1
17452	15287	0
5279	34023	1
